date,team_a,team_b,goals_a,goals_b,competition,location
2026-06-27 00:00:00+00:00,Uruguay,Spain,0,1,FIFA World Cup,Guadalajara Stadium
2026-06-27 00:00:00+00:00,Cabo Verde,Saudi Arabia,0,0,FIFA World Cup,Houston Stadium
2026-06-27 03:00:00+00:00,Egypt,IR Iran,1,1,FIFA World Cup,Seattle Stadium
2026-06-27 03:00:00+00:00,New Zealand,Belgium,1,5,FIFA World Cup,BC Place Vancouver
2026-06-27 21:00:00+00:00,Panama,England,0,2,FIFA World Cup,New York/New Jersey Stadium
2026-06-27 21:00:00+00:00,Croatia,Ghana,2,1,FIFA World Cup,Philadelphia Stadium
2026-06-27 23:30:00+00:00,Colombia,Portugal,0,0,FIFA World Cup,Miami Stadium
2026-06-27 23:30:00+00:00,Congo DR,Uzbekistan,3,1,FIFA World Cup,Atlanta Stadium
2026-06-28 02:00:00+00:00,Algeria,Austria,3,3,FIFA World Cup,Kansas City Stadium
2026-06-28 02:00:00+00:00,Jordan,Argentina,1,3,FIFA World Cup,Dallas Stadium
