match_id,team_a,team_b,pred_goals_a,pred_goals_b,actual_a,actual_b,pred_la,pred_lb
1,Mexico,South Africa,2,0,2,0,2.362561335871847,0.3472717601782393
2,Korea Republic,Czechia,0,0,2,1,0.7632252765034193,0.7741158275223085
3,Canada,Bosnia and Herzegovina,2,0,1,1,2.432891987294066,0.4363768558062332
4,USA,Paraguay,0,0,4,1,0.7760122897276516,1.2278363188650163
8,Qatar,Switzerland,0,2,1,1,0.3463953996196279,2.784145342404691
7,Brazil,Morocco,2,0,1,1,2.466063024099936,0.462263442849688
5,Haiti,Scotland,0,2,0,1,0.519008828952079,2.3779753839393205
6,Australia,Türkiye,0,1,2,0,0.5232926317879424,1.653315423704372
10,Germany,Curaçao,3,0,7,1,3.4316298992261647,0.29565231673644
11,Netherlands,Japan,1,0,2,2,1.7440827318550254,0.6705239064577935
9,Côte d'Ivoire,Ecuador,0,2,1,0,0.5376416087154267,2.503456998858615
12,Sweden,Tunisia,0,0,5,1,1.5225330875270977,0.6438200526763016
14,Spain,Cabo Verde,2,0,0,0,2.850798307790669,0.3876902421080943
16,Belgium,Egypt,2,1,1,1,2.869118441938854,0.5985287240584304
13,Saudi Arabia,Uruguay,0,2,1,1,0.3581145325214883,2.3549409623774027
15,IR Iran,New Zealand,2,1,2,2,2.047569779254917,0.5174650523656397
17,France,Senegal,2,0,3,1,2.103924129833598,0.424143693008152
18,Iraq,Norway,0,2,1,4,0.4383174508119685,2.6586249198609173
19,Argentina,Algeria,2,0,3,0,2.8422306102641515,0.4890603711396967
20,Austria,Jordan,2,1,3,1,2.128982106406699,0.5237167341349638
23,Portugal,Congo DR,2,0,1,1,2.776398536438036,0.4507011708619396
22,England,Croatia,1,1,4,2,1.5239046058159291,0.6821567469405867
21,Ghana,Panama,0,1,1,0,0.6467912072877096,1.780410003738894
24,Uzbekistan,Colombia,0,2,1,3,0.4445240022568048,2.5338215913210376
25,Czechia,South Africa,2,1,1,1,2.0113860804966888,0.6247885073301795
26,Switzerland,Bosnia and Herzegovina,2,1,4,1,2.1833379053106534,0.5520467551086395
27,Canada,Qatar,2,0,6,0,2.1163997794939817,0.4227466528997231
28,Mexico,Korea Republic,0,0,1,0,1.2580413973399225,0.671839640753697
32,USA,Australia,1,1,2,0,1.2188996936455805,0.8258465958019372
30,Scotland,Morocco,0,0,0,1,0.8680896132675826,0.7902721254267849
29,Brazil,Haiti,3,0,3,0,3.4558296840447595,0.3402535900763733
31,Türkiye,Paraguay,0,0,0,1,0.8852563309384514,0.8633517788802647
35,Netherlands,Sweden,2,1,5,1,2.5942930454191986,0.5590700617672991
33,Germany,Côte d'Ivoire,2,1,2,1,2.58699727703995,0.5881314137088623
34,Ecuador,Curaçao,2,0,0,0,2.7857016199881155,0.362853890074083
36,Tunisia,Japan,0,2,0,4,0.4314086658958811,2.5258028590804744
38,Spain,Saudi Arabia,2,0,4,0,2.8276749905090552,0.3534873094047013
39,Belgium,IR Iran,1,0,0,0,1.7277544743754816,0.6660234135815825
37,Uruguay,Cabo Verde,2,0,2,2,2.367290617052375,0.4722825448635184
40,New Zealand,Egypt,0,2,1,3,0.6475999814525351,2.0093474639914786
43,Argentina,Austria,2,0,2,0,2.402500351462296,0.4610038038928204
42,France,Iraq,2,0,3,0,2.8750407918727827,0.3597906694160199
41,Norway,Senegal,2,1,3,2,1.9138161938322067,0.650438235305108
44,Jordan,Algeria,0,0,1,2,0.5539761580184529,1.4149991653714449
47,Portugal,Uzbekistan,2,0,5,0,2.573922055926356,0.3220794854215402
45,England,Ghana,2,0,0,0,2.8605053112461727,0.3273628166038541
46,Panama,Croatia,0,2,0,1,0.4737127879817115,2.7160173341866933
